"","eidid","eid_name","data_quality","path_genus","path_species","path_common","path_subgroup","path_disease","event_location","map_type","no_map_objects","sourcenotes_original","sourcenotes_ceisin","transtype_zoo_t","transtype_zoo_pd","zoo_origin","zoo_origin_type","path_type","transmode_descrip","transmode_1_descrip","transmode_1_contact","transmode_2_code","transmode_3_code","transtype_human","path_acquisition","path_vector","event_date","event_year","event_decade","event_ref","event_type","drivers_ref","drivers","driver_1","driver_1_iom","driver_1_pd","driver_pd_reclass","driver_2","driver_3","path_reservoir","path_georange","path_hosteffect","eid_ref","notes","geo_data_qual_1","geo_data_qual_12","yr1","yr2","filename","wildlife_zoonoses"
"350",350,"HED_350",1,"Mycobacterium","fortuitum","Unspecified","Unspecified","Unspecified","Rio de Janiero, Brazil","1",1,"GGv2. ""Rio de Janeiro, Brazil""","GGv2. ""Rio de Janeiro, Brazil""","yes",1,1,3,"bacteria","Skin or mucous membrane contamination originating in the environment cause local soft tissue infections; in pulmonary and disseminated disease the mode of transmission is often not clear (may represent a reactivation of dormant lesions)","Skin or mucous membrane contamination originating in the environment","direct contact","None","None","","","None","1938",1938,"1930","GORDON RE, SMITH MM. Rapidly growing, acid fast bacteria. II. Species' description of Mycobacterium fortuitum Cruz. J Bacteriol. 1955 May;69(5):502-7.  Cruz JC. 1938. Mycobacterium fortuitum um novo bacilo acido-resistentepatogenico para o homen. Acta Med (Rio de Janeiro). 1 297-301.","","Sermet-Gaudelus I, Le Bourgeois M, Pierre-Audigier C, Offredo C, Guillemot D, Halley S, et al. Mycobacterium abscessus and children with cystic fibrosis. Emerg Infect Dis [serial online] 2003 Dec [date cited]. Available from: URL: http://www.cdc.gov/ncido","Since 1990, an increasing number of studies have reported the recovery of nontuberculous mycobacteria from the respiratory tract of patients with cystic fibrosis; first report was recovered from the site of a vitamin injection","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","AIDS","None","est isolé de diverses espèces sauvages (mouches, amphibiens, reptiles, poissons, sangliers, phoques...) et domestiques (poissons, oiseaux, bovins, carnivores, équidés, porcs). Les animaux porteurs de Mycobacterium fortuitum subsp. fortuitum sont des anima","Unspecified","Unspecified","Taylor et al.","",1,1,0,0,"HED_350.shp",TRUE
"351",351,"HED_351",1,"Unspecified","Unspecified","Chikungunya","Unspecified","Chikungunya fever","South Sumatra,Java, and West Kalimantan (Indonesia)","3",3,"ESRIAdmin00.DCWIslands. ""West Kalimantan, Sumatra, Java, Indonesia""","ESRIAdmin00.DCWIslands. ""West Kalimantan, Sumatra, Java, Indonesia""","yes",1,1,2,"virus","mosquito-borne","arthropod-borne","vector","None","None","","","mosquito","1982",1982,"1980","Mackenzie EID 2001. Suharyono W. Outbreak of Chikungunya virus in Indonesia 1982-1985. Virus Information Exchange Newsletter 1986;3:91","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992. Gubler 1998 EID","urbanization","urbanization","human demographics and behavior","human demographics and behavior","human demographics and behavior","None","None","possibly primates","primarily Africa, South Asia, and the Philippines","Unspecified","Taylor et al.","",0,1,1,1,"HED_351.shp",TRUE
"352",352,"HED_352",1,"Unspecified","Unspecified","Cote D'ivoire Ebola","Unspecified","Unspecified","Tia Forest, cote d'ivoire","3",1,"ESRICountry00. ""CoteIvoire""","Country name ""Cote d'ivoire""","yes",1,1,2,"virus","Person to person transmission by intimate contact is the main route of infection (direct contact with infected blood, secretions, organs or semen); contaminated syringes and needles facilitated virus transmission noscomially in outbreak; transmission by droplets and small particle aerosols have been observed in outbreaks among experimentally infected monkeys; all EBOV subtypes have displayed the ability to be spread through airborne particles (aerosols) under research conditions; however, there is no evidence to indicate aerosol transmission of EBOV in human outbreaks is an important route of transmission","direct intimate contact","direct contact","shared needles and syringes in hospitals","None","","","None","Nov-94",1994,"1990","Lancet 1995;345:1271–4. J Infect Dis 1999;179(suppl 1):S48–3.","","Global Issues 1996","Natural host still unknown; studies underway in forests of Cote D’Ivoire to identify reservoir in which the Ebola virus hides; in Europe and the United States, virus-infected monkeys shipped from developing countries via air; bushmeat; human encroachment","encroachment","human demographics and behavior","encroachment","land use change","bushmeat","lab","fruit bat or some other small mammal","Unspecified","Unspecified","Unspecified","",0,1,1,1,"HED_352.shp",TRUE
"353",353,"HED_353",1,"Unspecified","Unspecified","Crimean-Congo haemorrhagic fever","Unspecified","Crimean-Congo Hemorrhagic Fever","western steppe region of crimea (crimean oblast), former ussr","3",1,"ESRIAdmin00. ""Crimea, Ukraine""","ESRIAdmin00. ""Crimea, Ukraine""","yes",1,1,3,"virus","tick-borne","arthropod-borne","vector","None","None","","","tick","1944",1944,"1940","watts dm et al. CCHF In: vol. 2 the arboviruses:epi and eco. 1988 ed thomas monath. Pp 177-214","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992. http://depts.washington.edu/eminf/2002/mod1topic3/","lack of effective tick control; lack of effective animal quarantine; ww2; will likely increase as populations expand and travel to more rural areas continues","military","international travel and commerce","war and famine","war and famine","breakdown of public health measures","travel","hares, birds, ticks, insectivores and rodents; domestic animals (sheep, goats, cattle) may act as amplifying host","Eastern Europe, central and western Asia, Middle East, Sub-Saharan and southern Africa","Unspecified","Taylor et al.; Lashley p 114","",1,1,1,0,"HED_353.shp",TRUE
"354",354,"HED_354",1,"Unspecified","Unspecified","Crimean-Congo haemorrhagic fever","Unspecified","Unspecified","Kosovo","3",1,"ESRICountry00. ""Serbia""","Country name ""Serbia""","yes",1,1,3,"virus","tick-borne","arthropod-borne","vector","None","None","","","tick","2001",2001,"2000","http://www.who.int/disease-outbreak-news/n2001/june/29june2001.html","","Unspecified","war","military","international travel and commerce","war and famine","war and famine","None","None","hares, birds, ticks, insectivores and rodents; domestic animals (sheep, goats, cattle) may act as amplifying host","Unspecified","Unspecified","Taylor et al.; Unspecified","",1,1,1,0,"HED_354.shp",TRUE
"355",355,"HED_355",1,"Unspecified","Unspecified","Dengue","Unspecified","Dengue fever","Manila, Phillipines","1",1,"GGv2. ""Manila, Philippines, Angeles City""","GGv2. ""Manila, Philippines, Angeles City""","yes",1,1,2,"virus","mosquito-borne","arthropod-borne","vector","None","None","","","mosquito","rainy season 1954",1954,"1950","J INFECTION 42 (2): 104-115 FEB 2001; hammon 1960; dj gubler. Dengue. In: vol. 2 the arboviruses:epi and eco. 1988 ed thomas monath. Pp 223-253","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992. Global Issue 1996","lack of effective mosquito control; increased urbanization in the tropics; increased air travel; ww2 troops; Poor mosquito control; increased urbanization in tropics; increased air travel.","military","international travel and commerce","war and famine","war and famine","travel","breakdown of public health measures","possibly ""jungle cycle"" in primates","epidemic and endemic in tropical and subtropical areas of Africa, the Americas, Asia, Oceania, and Australia; widespread in the Caribbean basin","Unspecified","Taylor et al.","",1,1,1,0,"HED_355.shp",TRUE
"356",356,"HED_356",0,"Unspecified","Unspecified","Eastern Equine Encephalitis","Unspecified","Unspecified","New England","3",6,"ESRIAdmin00. ""Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Conninecticut""","ESRIAdmin00. ""Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Conninecticut""","yes",1,1,3,"virus","mosquito-borne","arthropod-borne","vector","None","None","","","mosquito","1938",1938,"1930","NEJM 219:411. 1938. Science. 88:455. 1938. hammon 1960; cd morris. eee. In: vol. 3 the arboviruses:epi and eco. 1988 ed thomas monath. Pp 1-13","","http://www.astdhpphe.org/infect/equine.html; Gubler EID 1998","The risk of exposure has been increasing as people move into previously undeveloped areas where the virus lives; deforestation","encroachment","human demographics and behavior","encroachment","land use change","deforestation","None","horses, birds, rodents, bats, reptiles, amphibians","Unspecified","90% mortality","Taylor et al.","",0,0,0,0,"HED_356.shp",TRUE
"357",357,"HED_357",1,"Unspecified","Unspecified","Eastern Equine Encephalitis","Unspecified","Unspecified","Massachusetts","3",1,"ESRIAdmin00. ""Massachusetts, US""","ESRIAdmin00. ""Massachusetts, US""","yes",1,1,3,"virus","mosquito-borne","arthropod-borne","vector","None","None","","","mosquito","1938",1938,"1930","Ann N Y Acad Sci. 1994 Dec 15;740:157-68.","","http://www.astdhpphe.org/infect/equine.html; Gubler EID 1998","The risk of exposure has been increasing as people move into previously undeveloped areas where the virus lives; deforestation","encroachment","human demographics and behavior","encroachment","land use change","deforestation","None","horses, birds, rodents, bats, reptiles, amphibians","Unspecified","90% mortality","Taylor et al.","",1,1,0,0,"HED_357.shp",TRUE
"358",358,"HED_358",1,"Unspecified","Unspecified","Enterovirus 70","Unspecified","Unspecified","Accra, Ghana","1",1,"GGv2. ""Accra, Ghana""","GGv2. ""Accra, Ghana""","yes",0,0,0,"virus","By direct or indirect contact with discharge from infected eyes; person-to-person transmission with high attack rates in families; large epidemics associated with overcrowding and low standards of hygiene","hand contact","indirect contact","ingestion of contaminated food","tears","","","None","1969",1969,"1960","Chatterjee, S., C.O. Quarcoopome and A. Apenteng (1970) Unusual type of epidemic conjunctivitis in Ghana. Br. J. Ophthaimol., 54:628-630.","","www.vadscorner.com/internet44.html","increased awareness; recognition","increased recognition","technology and industry","medical industry changes","medical industry changes","None","None","humans; Virus is possibly a variant of some animal viruses","Unspecified","Unspecified","Unspecified","",1,1,1,0,"HED_358.shp",FALSE
"359",359,"HED_359",1,"Unspecified","Unspecified","Enterovirus 70","Unspecified","Unspecified","Delhi, India","1",1,"GGv2. ""Delhi, India""","GGv2. ""Delhi, India""","yes",0,0,0,"virus","By direct or indirect contact with discharge from infected eyes; person-to-person transmission with high attack rates in families; large epidemics associated with overcrowding and low standards of hygiene","hand contact","indirect contact","ingestion of contaminated food","tears","","","None","1996",1996,"1990","R.S. Maitreyi, L. Dar, A. Muthukumar, M. Vajpayee, I. Xess, R.B. Vajpayee, P. Seth, and S. Broor. Acute Hemorrhagic Conjunctivitis Due to Enterovirus 70 in India. EID. Vol. 5, No. 2, MarchñApril 1999.","","R.S. Maitreyi, L. Dar, A. Muthukumar, M. Vajpayee, I. Xess, R.B. Vajpayee, P. Seth, and S. Broor. Acute Hemorrhagic Conjunctivitis Due to Enterovirus 70 in India. EID. Vol. 5, No. 2, MarchñApril 1999.","viral mutations","change in virulence","unspecified","unspecified","other","None","None","humans; Virus is possibly a variant of some animal viruses","Unspecified","Unspecified","Unspecified","",1,1,1,1,"HED_359.shp",FALSE
"360",360,"HED_360",1,"Unspecified","Unspecified","Enterovirus 71","Unspecified","Unspecified","Sarawak, Malaysia","3",1,"ESRIAdmin00. ""Sarawak, Malaysia""","ESRIAdmin00. ""Sarawak, Malaysia""","no",0,0,0,"virus","By direct or indirect contact with discharge from infected eyes; person-to-person transmission with high attack rates in families; large epidemics associated with overcrowding and low standards of hygiene","hand contact","indirect contact","ingestion of contaminated food","fomites","","","None","1997",1997,"1990","WHO. 1997. Wkl Epid Record. 72:211-212.","","Lin T-Y, Twu S-J, Ho M-S, Chang L-Y, Lee C-Y. Enterovirus 71 outbreaks, Taiwan: occurrence and recognition. Emerg Infect Dis [serial online] 2003 Mar [date cited]. Available from: URL: http://www.cdc.gov/ncidod/EID/vol9no3/02-0285.htm; EI 5","EV71 had circulated for at least 16 years and that the accumulation of susceptible hosts might have triggered the 1998 outbreak. However, a change in EV71 neurovirulence and host genetic susceptibility may also have affected the clinical outcome","change in virulence","unspecified","unspecified","other","None","None","None","Unspecified","Unspecified","Johnson JNS 1994","",0,1,1,1,"HED_360.shp",FALSE
"361",361,"HED_361",1,"Unspecified","Unspecified","Enterovirus 71","Unspecified","Unspecified","California","3",1,"ESRIAdmin00. ""California, USA""","ESRIAdmin00. ""California, USA""","no",0,0,0,"virus","By direct or indirect contact with discharge from infected eyes; person-to-person transmission with high attack rates in families; large epidemics associated with overcrowding and low standards of hygiene","hand contact","indirect contact","ingestion of contaminated food","fomites","","","None","1974",1974,"1970","EI 5. Schmidt NJ et al. JID. 1974. 129:304-309.","","Lin T-Y, Twu S-J, Ho M-S, Chang L-Y, Lee C-Y. Enterovirus 71 outbreaks, Taiwan: occurrence and recognition. Emerg Infect Dis [serial online] 2003 Mar [date cited]. Available from: URL: http://www.cdc.gov/ncidod/EID/vol9no3/02-0285.htm; EI 5","newly recognized","increased recognition","technology and industry","medical industry changes","medical industry changes","None","None","None","Unspecified","Unspecified","Johnson JNS 1994","",0,1,1,0,"HED_361.shp",FALSE
"362",362,"HED_362",1,"Unspecified","Unspecified","European Tick Borne Encephalitis","Unspecified","Unspecified","Bornholm in Denmark, southern Norway and the south of Sweden","2,3",3,"ESRICountry00. ""Norway, Sweden"" DCWIslands ""Bornholm""","Country names ""Sweden"", ""Norway""","yes",1,1,3,"virus","tick-borne","arthropod-borne","vector","None","None","","","tick","1993",1993,"1990","Haglund 2003","","Evan p. 174","Most cases are reported in forest and construction workers in newly opened regions, woodsmen, trappers, and famers","forest work","human demographics and behavior","deforestation","land use change","None","None","small wild mammals and birds","Unspecified","Unspecified","Taylor et al.; Mackenzie EID 2001","extended endemicity in others (Switzerland, southern Germany) new TBE foci have recently been found or rediscovered in the Nordic countries, such as Bornholm in Denmark, southern Norway and several foci in the south of Sweden",0,1,1,1,"HED_362.shp",TRUE
"363",363,"HED_363",1,"Unspecified","Unspecified","Far eastern tick-borne encephalitis","Unspecified","Unspecified","Oshima, the southern part of Hokkaido","1",1,"GGv2  ""Kamiiso, Oshima District,  Hokkaido, Japan""","GGv2  ""Kamiiso, Oshima District,  Hokkaido, Japan""","yes",1,1,3,"virus","tick-borne","arthropod-borne","vector","None","None","","","tick","1993",1993,"1990","Jpn J Infect Dis. 2001 Feb;54(1):1-11. Ecker M, Allison SL, Meixner T, Heinz FX. 1999. Sequence analysis and genetic classiÆcation of tick-borne encephalitis viruses from Europe and Asia. J Gen Virol 80:179±185.","","Evan p. 174","Most cases are reported in forest and construction workers in newly opened regions, woodsmen, trappers, and famers; climatic factors","forest work","human demographics and behavior","deforestation","land use change","None","None","small wild mammals and birds","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_363.shp",TRUE
"364",364,"HED_364",1,"Unspecified","Unspecified","Guama","Unspecified","Unspecified","Belem, Brazil","1",1,"GGv2. ""Belem, Brazil, Estado do Para""","GGv2. ""Belem, Brazil, Estado do Para""","yes",1,1,2,"virus","mosquito-borne","arthropod-borne","vector","None","None","","","mosquito","1954",1954,"1950","AM J TROP MED HYG 6 (6): 1017-1023 1957. shope re et al. the epi of dis caused by viruses in groups c and guama (bunyaviridae) In: vol. 3 the arboviruses:epi and eco. 1988 ed thomas monath. Pp 37-51","","shope re et al. the epi of dis caused by viruses in groups c and guama (bunyaviridae) In: vol. 3 the arboviruses:epi and eco. 1988 ed thomas monath. Pp 37-51","workers imported to clearcut planting pepper and rubber and residents settling in forest fringe communities","deforestation","economic development and land use","deforestation","land use change","increase in forest fringe communities","None","Forest rodents and marsupials","Unspecified","Unspecified","Taylor et al.","",1,1,1,0,"HED_364.shp",TRUE
"365",365,"HED_365",1,"Unspecified","Unspecified","Guanarito","Unspecified","Unspecified","Guanarito, Portuguesa State, Venezuela","1",1,"GGv2. ""Guanarito, Venezuela, Estado Portuguesa""","GGv2. ""Guanarito, Venezuela, Estado Portuguesa""","yes",1,1,2,"virus","inhalation of small particle aerosols derived directly from rodent excreta containing virus, saliva or from rodents disrupted by mechanical harveters; virus deposited in the environment may also be infective when secondary aerosols are generated by farming and grain processing, when ingested or by contact with cuts or abrasions","inhalation of aerosolized particles","direct contact","ingestion","contact with cuts or abrasions","","","None","Sep-89",1989,"1980","Lancet. 1991. 338:1033-36. IDCNA 1994 8:47-59. AM J TROP MED HYG 53 (1): 1-6 JUL 1995. Promed, 2002. Venezuelan hemorrhagic fever–Venezuela, reference 20020203.3467. Charrel 2003. Charrel 2003; Clin. Infect. Dis. 26 (1998), pp. 308–313; Lancet 1991;338:1033–6.","","Promed, 2002. Venezuelan hemorrhagic fever–Venezuela, reference 20020203.3467.","exploitation of new territories for human habitation and agriculture; farming and grain processing","encroachment","human demographics and behavior","encroachment","land use change","farming","None","cane and cotton rat","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_365.shp",TRUE
"366",366,"HED_366",1,"Unspecified","Unspecified","Hantaan","Unspecified","Unspecified","Manchuria","3",3,"ESRIAdmin00. ""Jilin, Heilongjiang, and Liaoning, China""","ESRIAdmin00. ""Jilin, Heilongjiang, and Liaoning, China""","yes",1,1,2,"virus","aerosol transmission from rodent excreta; nosocomial transmission","aerosol transmission from rodent excreta","direct contact","None","None","","nosocomial","None","before WW2",1941,"1940","Benenson AS (eds) 1990. Control of communicable diseases in man, 15th ed. Washington DC: APHA.","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992. Global Issues 1996. Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992.","human invasion of virus ecological niche; in tropics;Environmental changes increasing exposure to rodent hosts. troops/warfare","encroachment","human demographics and behavior","encroachment","land use change","environmental changes","military","Striped field mouse","eastern Asia","Unspecified","Taylor et al.","",0,1,1,0,"HED_366.shp",TRUE
"367",367,"HED_367",1,"Unspecified","Unspecified","Hantaan","Unspecified","Unspecified","Korea","3",2,"ESRICountry00. ""North/South Korea""","Country names ""North Korea"" and ""South Korea""","yes",1,1,2,"virus","aerosol transmission from rodent excreta; nosocomial transmission","aerosol transmission from rodent excreta","direct contact","None","None","","nosocomial","None","Dec-51",1951,"1950","unspecified","","LeDuc JW, Ksiazek TG, Rossi CA, Dalrymple JM. A retrospective analysis of sera collected by the Hemorrhagic Fever Commission during the Korean Conflict. J Infect Dis. 1990 Nov;162(5):1182-4. Global Issues 1996","UN forces serving in Korea; Environmental changes increasing exposure to rodent hosts.","military","international travel and commerce","war and famine","war and famine","environmental changes","None","Striped field mouse","Unspecified","Unspecified","Taylor et al.","was reported in Japanese and Soviet troops in Manchuria before the onset of WW2 and was later (1951) recognized in UN troops in Korea Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992.",0,1,1,0,"HED_367.shp",TRUE
"368",368,"HED_368",0,"Unspecified","Unspecified","Hantaan","Unspecified","Unspecified","Bosnia","3",1,"ESRICountry00. ""Bosina- Herzegovina""","Country names ""Bosina"", ""Herzegovina""","yes",1,1,2,"virus","aerosol transmission from rodent excreta; nosocomial transmission","aerosol transmission from rodent excreta","direct contact","None","None","","nosocomial","None","1995",1995,"1990","British soldier returns from Bosnia with HFRS.Commun Dis Rep CDR Wkly. 1995 Oct 6;5(40):193","","Global Issue 1996","military; Environmental changes increasing exposure to rodent hosts.","military","international travel and commerce","war and famine","war and famine","environmental changes","None","None","Unspecified","Unspecified","Taylor et al.","",0,0,1,1,"HED_368.shp",TRUE
"369",369,"HED_369",0,"Unspecified","Unspecified","Hantaan","Unspecified","Unspecified","Dinara, Croatia","1",1,"www.birdlife.net. ""Dinara Mountain, Croatia""","www.birdlife.net. ""Dinara Mountain, Croatia""","yes",1,1,2,"virus","aerosol transmission from rodent excreta; nosocomial transmission","aerosol transmission from rodent excreta","direct contact","None","None","","nosocomial","None","Jan-89",1989,"1980","Kuzman I, Markotic A, Turcinov D, Beus I. [An epidemic of hemorrhagic fever with renal syndrome in Croatia in 1995] Lijec Vjesn. 1997 Nov-Dec;119(11-12):311-5.","","Global Issue 1996","military; Environmental changes increasing exposure to rodent hosts.","military","international travel and commerce","war and famine","war and famine","environmental changes","None","None","Unspecified","Unspecified","Taylor et al.","",0,0,1,1,"HED_369.shp",TRUE
"370",370,"HED_370",1,"Unspecified","Unspecified","Hendra","Unspecified","Unspecified","Brisbane suburb of Hendra or Mackay, Queensland","1",1,"GGv2. ""Brisbane, Australia, Queensland""","GGv2. ""Brisbane, Australia, Queensland""","yes",1,1,3,"virus","direct contact with horses","direct animal contact","direct contact","None","None","","","None","Aug-94",1994,"1990","Murray K, Rogers R, Selvey L et al. A novel morbillivirus pneumonia of horses and its transmission to humans. Emerg Infect Dis 1995; 1: 31–33. O'Sullivan Lancet 1997.","","Unspecified","movement of race horses; high density of horses; suburban area","race horse movement","international travel and commerce","international travel and commerce","international travel and commerce","None","None","natural reservoir for Hendra virus is thought to be flying foxes (bats of the genus Pteropus)","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_370.shp",TRUE
"371",371,"HED_371",1,"Unspecified","Unspecified","Hepatitis A","Unspecified","Unspecified","developing countries **no citations found therefore exclude","None",NA,"","","yes",1,1,2,"virus","Person-to-person by faecal-oral route; ingestion of contaminated food (i.e., shell fish) and water; rare instances of transmission by blood transfusion from a donor in the incubation period; hands may play an important role in the direct as well as the indirect spread of HAV","ingestion of contaminated food","indirect contact","ingestion of contaminated water","hands","y","","None","Unspecified",NA,"Unspecified","Mast 1993","","http://www.astdhpphe.org/infect/hepa.html; Lashley","transportation and distribution of goods","food imports","international travel and commerce","international travel and commerce","international travel and commerce","None","None","Humans; rarely captive chimpanzees; less frequently, certain other non-human primates","Unspecified","Unspecified","Taylor et al.","",0,0,0,0,"HED_371.shp",TRUE
"372",372,"HED_372",1,"Unspecified","Unspecified","Hepatitis B","HBeAg-negative (variant with truncated protein products)","Unspecified","Italy and Greece","3",2,"ESRICountry00. ""ItalyGreece""","Country names ""Italy"" and ""Greece""","no",0,0,0,"virus","Percutaneous or permucosal exposure to infectious body fluids (blood, blood products, cerebral spinal fluid, serum-derived fluids, saliva, semen, vaginal fluids, unfixed tissues and organs), indirect contact with contaminated items in the laboratory; commonly spread by contaminated needles, syringes and other IV equipment; contamination of wounds or lacerations; exposure of mucous membranes; sexual contact, household contact, perinatal transmission from mother to infant, nosocomial exposure","fomites","indirect contact","sexual contact","perinatal transmission","","nosocomial","None","1989",1989,"1980","Carman et al. 1989. 2:588-591","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992. Global Issues 1996; IOM 2001","increased sexual activity and intravenous drug abuse;international travel and commerce; transfusion (before 1978).","transfusions","technology and industry","medical industry changes","medical industry changes","travel","increased sexual activity","Humans, chimpanzees are susceptible, but an animal reservoir in nature has not been recognized","worldwide","Unspecified","Taylor et al.","",0,1,1,1,"HED_372.shp",FALSE
"373",373,"HED_373",1,"Unspecified","Unspecified","Hepatitis B","vaccine escape mutant","Unspecified","Neopolitan, Italy","1",1,"GGv2. ""Napoli, Italy""","GGv2. ""Napoli, Italy""","no",0,0,0,"virus","Percutaneous or permucosal exposure to infectious body fluids (blood, blood products, cerebral spinal fluid, serum-derived fluids, saliva, semen, vaginal fluids, unfixed tissues and organs), indirect contact with contaminated items in the laboratory; commonly spread by contaminated needles, syringes and other IV equipment; contamination of wounds or lacerations; exposure of mucous membranes; sexual contact, household contact, perinatal transmission from mother to infant, nosocomial exposure","fomites","indirect contact","sexual contact","perinatal transmission","","nosocomial","None","1990",1990,"1990","Carman et al. 1990 lancet 336:325-329. Stroffolini T, Pasquini P, Mele A, et al. HBsAg carriers among pregnant women in Italy: results from the screening during a vaccination campaign against hepatitis. Public Health 1988; 102: 329-33.","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992. Global Issues 1996; IOM 2001","increased sexual activity and intravenous drug abuse;international travel and commerce; transfusion (before 1978).","injection drug use","human demographics and behavior","human demographics and behavior","human demographics and behavior","increased sexual activity","travel","Humans, chimpanzees are susceptible, but an animal reservoir in nature has not been recognized","worldwide","Unspecified","Taylor et al.","",1,1,1,1,"HED_373.shp",FALSE
"374",374,"HED_374",1,"Unspecified","Unspecified","Hepatitis C","Unspecified","Unspecified","Bethesda, MD","1",1,"GGv2. ""Bethesda, US, Maryland""","GGv2. ""Bethesda, US, Maryland""","no",0,0,0,"virus","Percutaneous exposure to contaminated blood (102 - 103 infectious particles / mL of blood) and plasma derivatives; contaminated needles and syringes are important vehicles of spread, especially among injecting drug users; risk of HCV transmission by household contact and sexual activity has not been well defined, but efficiency of transmission via these routes appears to be low; vertical transmission appears to be uncommon, however risk of transmission may increase when the mother is co-infected with HIV; in over 40% of cases, the risk factor(s) for HCV transmission cannot be identified","fomites","indirect contact","percutaneous exposure to contaminated blood","sexual contact","","","None","1975",1975,"1970","Feinstone SM. NEJM 292:767 1975.","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992. Global Issues 1996. IOM 2003","immunocompromised; old disease syndrome newly documented; Recognition through molecular virology applications; blood transfusion practices following World War II.","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","new diagnostic tools","None","None","worldwide","Unspecified","Taylor et al.","",1,1,1,0,"HED_374.shp",FALSE
"375",375,"HED_375",1,"Unspecified","Unspecified","Hepatitis E","Unspecified","Unspecified","Delhi, India","1",1,"GGv2. ""Delhi, India""","GGv2. ""Delhi, India""","yes",1,1,3,"virus","Faecal-oral route; ingestion of contaminated water (most commonly documented vehicle of transmission; person-to-person transmission appears to be uncommon; secondary household cases are not common during outbreaks; potential exists for food-borne transmission","ingestion of contaminated water","indirect contact","ingestion of contaminated food","None","","","None","dec. 1, 1955",1955,"1950","Labrique AB. EPIDEMIOL REV 21 (2): 162-179 1999;","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992.; Labrique Epi Rev. 1999.","agent and disease are newly recognized; common exposure was the consumption of drinking water from the municipal water supply; examination of the Wazirabad water intake plant on the flooding Jammu River revealed severe fecal contamination from a nearby se","newly recognized","technology and industry","newly discovered","other","poor water supply","weather factors","swine, rodents, and chickens; primates, domestic swine, cows, sheep, goats, chickens, and water buffalo","may be widespread; majority of outbreaks have been reported from Asia, Africa, the Commonwealth of Independent States, and Mexico","Unspecified","Taylor et al.","",1,1,1,0,"HED_375.shp",TRUE
"376",376,"HED_376",0,"Unspecified","Unspecified","Hepatitis E","Unspecified","Unspecified","China","3",1,"ESRICountry00. ""China""","Country name ""China""","yes",1,1,3,"virus","Faecal-oral route; ingestion of contaminated water (most commonly documented vehicle of transmission; person-to-person transmission appears to be uncommon; secondary household cases are not common during outbreaks; potential exists for food-borne transmission","ingestion of contaminated water","indirect contact","ingestion of contaminated food","None","","","None","1994",1994,"1990","Gust ID and Purcell RH. JID. 156:630-635; Purcell RH et al. Viral Hepatitis and Liver Disease. Alan R. Liss, New York, 1988. pp. 131-137. Labrique AB. EPIDEMIOL REV 21 (2): 162-179 1999; Yin SR, Purcell RH, Emerson SU. A new Chinese isolate of hepatitis E virus: comparison with strains recovered from different geographical regions. Virus Genes 1994; 9: 23–32.","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992.; Labrique Epi Rev. 1999.","agent and disease are newly recognized; common exposure was the consumption of drinking water from the municipal water supply; examination of the Wazirabad water intake plant on the flooding Jammu River revealed severe fecal contamination from a nearby se","newly recognized","technology and industry","newly discovered","other","poor water supply","weather factors","swine, rodents, and chickens; primates, domestic swine, cows, sheep, goats, chickens, and water buffalo","may be widespread; majority of outbreaks have been reported from Asia, Africa, the Commonwealth of Independent States, and Mexico","Unspecified","Taylor et al.","Most Asian countries have own hepE strain; if China is included, many other strains should be included as well",0,0,1,1,"HED_376.shp",TRUE
